,거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자
0,만덕민속 오리불고기단지,오리불고기 업체 다수,부산광역시 북구 만덕고개길,부산광역시 북구 만덕동 73-11,35.211512,129.047446,2000,24,2015,051-309-4485,부산광역시 북구,2022-11-25
1,젊음의 거리,젊음의 거리,부산광역시 북구 만덕대로16번길,부산광역시 북구 덕천동 402-1,35.209835,129.007249,300,100,2011,051-309-4485,부산광역시 북구,2022-11-25
2,구포 명품 피아노 특화거리,피아노 상가 다수,부산광역시 북구 낙동대로 1630,부산광역시 북구 구포동 1074-2,35.20123338,128.9924388,320,5,2012,051-309-4485,부산광역시 북구,2022-11-25
3,구포만세길,3.1운동 기념 거리,부산광역시 북구 구포만세길,부산광역시 북구 구포동 1060-470,35.205475,128.997146,100,15,2012,051-309-4485,부산광역시 북구,2022-11-25
0,전포카페거리,"번화가인 서면1번가 맞은편 쪽에는 아기자기하게 꾸며놓은 개성있는 카페 30여곳이 들어서 있는 카페거리는 원래 공구, 철물 등 산업용품 및 자재를 파는 가게들이 많던 공구상가 거리였으나 2010년 이후 아기자기한 카페들이 들어서면서 이색적인 카페거리로 불리고 있다.",부산광역시 부산진구 전포대로209번길 26,부산광역시 부산진구 전포동 682,35.1554,129.0635,1050,35,2012,051-605-5822,부산광역시 부산진구청,2023-06-21
0,40계단문화관광테마거리,6.25피난민들의 애환이 살아있는 40계단주변 테마거리,부산광역시 중구 중앙대로 73,,35.1039176,129.0324054,1697,65,2002,051-600-4042,부산광역시 중구청,2022-10-24
1,영화의거리,121년의 역사를 가진 부산영화의 메카로서 부산국제영화제가 탄생한 영화거리(BIFF광장 일원),부산광역시 중구 비프광장로 20,,35.098738,129.027566,400,100,1996,051-600-4062,부산광역시 중구청,2022-10-24
2,보수동책방골목거리,6.25피난시절 자연발생한국내 유일의 헌책방 테마거리,부산광역시 중구 책방골목길 8,,35.103456,129.026533,350,50,2009,051-600-4062,부산광역시 중구청,2022-10-24
3,엔터테이너 거리,광복동+남포동 뒷골목 문화예술인들의 스토리와 엔터테이너들의 추억담을 들을 수 있는 테마거리,부산광역시 중구 남포길/구덕로14번길,,35.098512,129.032231,630,100,2017,051-600-4086,부산광역시 중구청,2022-10-24
0,유엔참전기념거리,유엔평화문화특구 내 테마거리,부산광역시 남구 유엔평화로,부산광역시 남구 대연동 891-23,35.129682,129.09241,5040,100,2010,051-607-3651,부산광역시 남구청,2022-08-18
0,에덴맛길,하단동 동아대 근처 젊음의 거리를 따라 형성된 맛집 로드,부산광역시 사하구 낙동남로1423번길,,35.112047,128.963671,3780,50,2019,051-220-4412,부산광역시 사하구청,2022-12-22
0,명품가로공원,"도심 속 일상생활에서 접할 수 있는 다양한 수목과 초화, 수경시설을 만날 수 있는 쉼터",부산광역시 사상구 광장로,부산광역시 사상구 괘법동 572-18,35.16314953,128.978746,700,12,2013,051-310-4536,부산광역시 사상구청,2023-06-15
1,삼락재첩거리,사상구의 유명 요리인 재첩국을 맛볼 수 있는 맛집이 모여 있는 거리,부산광역시 사상구 낙동대로1530번길,부산광역시 사상구 삼락동 69-9,35.19351121,128.9863871,337,4,2022,051-310-4067,부산광역시 사상구청,2023-06-15
0,충무동 골목시장 고갈비특화거리,"충무동 골목시장에 추억의 향토음식인 고갈비를 특화한 거리로 골목시장 사거리에 있는 일명 파전골목을 기존 건물의 간판 등을 모두 철거·정비하고, 시장아치, 유도사인물 보수와 리모델링하여 고갈비전문 음식점 (12개 업소와 7개 이동식판매대)으로 변모하여 손님 맞이에 나서고 있다",부산광역시 서구 충무시장길 30(충무동1가),부산광역시 서구 충무동1가 29-1,35.09513362,129.0233074,568,98,2017,051-240-4475,부산광역시서구청,2022-11-28
0,생선회 특화지역,세계최대규모의 횟집 및 생선회 취급업소가 밀집한 민락횟촌,부산광역시 수영구 광안해변로~민락수변로 일원,,35.156926,129.126241,500,130,2011,051-610-4404,부산광역시 수영구청,2023-05-10
0,연제평생학습특화거리,배움을 공유하고 많은 지식을 얻을 수 있는 연제구 평생학습 특화거리,부산광역시 연제구 아시아드대로 22번길,,35.187395,129.070151,240,10,2013,051-665-4506,부산광역시 연제구청,2023-05-12
